iter	Passed	Remaining
0	147	147600
1	148	74064
2	149	49532
3	149	37236
4	150	29864
5	150	24947
6	151	21440
7	151	18811
8	152	16763
9	152	15128
10	153	13800
11	154	12727
12	155	11790
13	155	10980
14	156	10277
15	157	9663
16	157	9121
17	158	8638
18	158	8203
19	159	7812
20	160	7460
21	160	7139
22	161	6845
23	161	6574
24	162	6326
25	162	6097
26	163	5886
27	163	5690
28	164	5508
29	165	5337
30	165	5178
31	166	5027
32	166	4887
33	167	4755
34	167	4630
35	168	4519
36	169	4411
37	170	4305
38	170	4205
39	171	4108
40	171	4017
41	172	3930
42	172	3847
43	173	3768
44	174	3693
45	174	3623
46	175	3556
47	176	3490
48	176	3427
49	177	3366
50	177	3307
51	178	3249
52	178	3196
53	179	3144
54	180	3094
55	180	3046
56	181	2999
57	181	2953
58	182	2908
59	183	2868
60	183	2830
61	184	2791
62	185	2752
63	185	2715
64	186	2680
65	186	2645
66	187	2610
67	187	2576
68	188	2544
69	189	2512
70	189	2481
71	190	2452
72	190	2424
73	191	2397
74	192	2369
75	192	2343
76	193	2316
77	193	2290
78	194	2265
79	194	2241
80	195	2217
81	195	2194
82	196	2168
83	196	2146
84	197	2124
85	198	2104
86	198	2084
87	199	2064
88	199	2044
89	200	2025
90	200	2005
91	201	1987
92	201	1969
93	202	1951
94	202	1933
95	203	1916
96	204	1899
97	204	1882
98	205	1866
99	205	1850
100	206	1834
101	206	1819
102	207	1804
103	207	1789
104	208	1775
105	208	1761
106	209	1748
107	210	1734
108	210	1721
109	211	1707
110	211	1694
111	212	1682
112	212	1670
113	213	1659
114	214	1647
115	214	1635
116	215	1623
117	215	1611
118	216	1600
119	216	1589
120	217	1579
121	217	1568
122	218	1557
123	219	1547
124	219	1536
125	220	1526
126	220	1516
127	221	1506
128	221	1496
129	222	1487
130	222	1477
131	223	1469
132	223	1459
133	224	1451
134	225	1442
135	225	1433
136	226	1425
137	226	1417
138	227	1410
139	228	1402
140	228	1394
141	229	1385
142	229	1377
143	230	1369
144	231	1362
145	231	1354
146	232	1346
147	232	1339
148	233	1332
149	233	1325
150	234	1318
151	235	1311
152	235	1304
153	236	1297
154	236	1291
155	237	1284
156	237	1277
157	238	1270
158	238	1263
159	239	1257
160	239	1250
161	240	1243
162	240	1237
163	241	1230
164	242	1225
165	242	1220
166	243	1214
167	243	1208
168	244	1202
169	245	1196
170	245	1190
171	246	1185
172	246	1179
173	247	1173
174	247	1168
175	248	1162
176	248	1156
177	249	1151
178	249	1146
179	250	1140
180	250	1135
181	251	1130
182	252	1125
183	252	1120
184	253	1115
185	253	1110
186	254	1104
187	254	1099
188	255	1095
189	255	1090
190	256	1085
191	256	1081
192	257	1077
193	258	1072
194	258	1068
195	259	1064
196	259	1059
197	260	1055
198	261	1050
199	261	1046
200	262	1041
201	262	1037
202	263	1032
203	263	1028
204	264	1024
205	264	1020
206	265	1015
